,Unnamed: 0,Word,Word Frequency,Rpt,Letter Freq,Scores,Unnamed: 6,Unnamed: 7
463,463,cable,-0.79,0,5641.499314420202,6.919722932,,
464,464,cab's,-0.31,0,492.1735826700001,19.6772568,,
465,465,cacao,0.87,1,7990.613142581301,35.66994912,,
466,466,cache,-0.19,1,5194.9076791997,21.17607991,,
467,467,caddy,-0.01,1,1488.12397888,27.11716128,,
468,468,cadet,-0.2,0,8007.669821998001,14.61255543,,
469,469,cadre,0.71,0,9873.165010324,27.51446425,,
470,470,cafes,-0.25,0,4300.6046637477,15.84149714,,
471,471,caged,-0.41,0,3426.41973366,14.08313112,,
472,472,cages,-0.46,0,5834.991252321001,11.76317981,,
473,473,cagey,0.26,0,3708.595476432001,23.91429688,,
474,474,cairo,-0.13,0,10307.521131292,14.75515785,,
475,475,caked,-0.22,0,2309.660709356001,17.95432182,,
476,476,cakes,-0.71,0,3933.216325638601,9.1985193,,
477,477,calls,-0.49,1,7835.9705496996,15.3375074,,
478,478,calve,0.31,0,3064.518146104801,25.1836749,,
479,479,camel,-0.44,0,6337.9807112622,11.79764216,,
480,480,cameo,-0.4,0,6653.860778865301,12.23855617,,
481,481,camps,-0.4,0,1752.8063381829,15.90446599,,
482,482,canal,-0.48,1,9159.328720187801,14.93760564,,
483,483,candy,-0.53,0,2175.287110304001,13.44987736,,
484,484,canny,0.0,1,3179.757923003201,25.43532239,,
485,485,canoe,-0.42,0,12113.4388538317,9.790392144,,
486,486,canon,-0.34,1,5642.342184024701,18.66925316,,
487,487,can't,-0.59,0,1097.03178277,14.04995046,,
488,488,caper,-0.02,0,9205.2744360962,16.81957221,,
489,489,capes,-0.17,0,6850.7119517991,15.59214875,,
490,490,carat,0.31,1,14545.40534738061,25.00925313,,
491,491,cards,-0.81,0,5357.603131188001,6.780914268,,
492,492,cared,-0.39,0,9873.165010324003,11.01446425,,
493,493,cares,-0.53,0,16813.4192381694,6.803024874,,
494,494,caret,0.95,0,18323.4327103366,28.63140676,,
495,495,cargo,-0.48,0,4798.328802498002,12.06739363,,
496,496,carob,0.34,0,4318.495922248202,24.67939092,,
497,497,carol,-0.43,0,11053.9278339028,9.992342605,,
498,498,carry,-0.49,1,7791.848048723202,15.35695892,,
499,499,car's,-0.42,0,1575.76562682,15.84226,,
500,500,carte,0.74,0,18323.4327103366,25.48140676,,
501,501,carts,-0.52,0,9943.081105234201,9.038485246,,
502,502,carve,-0.25,0,3833.111121655201,16.17153494,,
503,503,cased,0.04,0,7347.766762182001,18.5072938,,
504,504,cases,-0.58,1,12512.8145744217,12.2634815,,
505,505,casks,-0.23,1,2134.3320080082,22.99552515,,
506,506,caste,-0.19,0,13636.5906674613,12.77136613,,
507,507,casts,-0.61,1,7399.799434358101,13.73337727,,
508,508,catch,-0.76,1,3072.1525263121,14.12707767,,
509,509,cater,-0.04,0,18323.4327103366,13.78140676,,
510,510,cathy,-0.42,0,2737.414357585601,14.52818362,,
511,511,cat's,-0.77,0,1278.03099039,11.03977171,,
512,512,catty,-0.31,1,5125.5443906128,19.41730582,,
513,513,cause,-0.7,0,8730.875799769203,6.808989984,,
514,514,caved,-0.38,0,1675.138536456,16.30655108,,
515,515,caves,-0.4,0,2852.6623900236,14.72166379,,
516,516,cease,-0.37,1,23059.0209860241,12.79305153,,
517,517,cecil,0.09,1,6565.728209348,24.63238533,,
518,518,cedar,-0.45,0,9873.165010324,10.11446425,,
519,519,cello,-0.14,1,11132.9029134092,19.31529043,,
520,520,cells,-0.62,1,9871.2875755956,12.56516368,,
521,521,cents,-0.47,0,8001.635846196298,10.56516973,,
522,522,chafe,0.28,0,2503.1153224231,25.25511749,,
523,523,chain,-0.69,0,3398.190685582,9.905728665,,
524,524,chair,-0.69,0,5319.501717068,8.603012389,,
525,525,chalk,-0.58,0,1334.5201497628,13.79948579,,
526,526,champ,-0.51,0,1020.1998894087,15.39284184,,
